sample_id,partner_sample_id,contributor,country,location,year,month,latitude,longitude,sex_call,sample_set,release,aim_fraction_colu,aim_fraction_arab,species_gambcolu_arabiensis,species_gambiae_coluzzii,species,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
AG0310-C,I-9,Charles Godfray,"Gambia, The",Wali Kunda,2012,10,13.567,-14.917,F,AG1000G-GM-C,v3,0.945,0.006,gamb_colu,coluzzii,coluzzii,34.287563,21.340134,1.1336735,-10.179307,8.705992,5.415792,-5.7876644,-2.7343893,2.2168226,-17.900425
AG0293-C,I-462,Charles Godfray,"Gambia, The",Wali Kunda,2012,10,13.567,-14.917,F,AG1000G-GM-C,v3,0.9640000000000001,0.004,gamb_colu,coluzzii,coluzzii,37.982006,-20.633907,6.4890327,-9.085869,4.8830476,6.110988,-4.049431,2.7936041,-0.7990175,-2.96562
AG0327-C,I-5,Charles Godfray,"Gambia, The",Wali Kunda,2012,10,13.567,-14.917,F,AG1000G-GM-C,v3,0.934,0.005,gamb_colu,coluzzii,coluzzii,35.360607,14.7189045,-2.6964362,7.44985,-5.03208,2.11687,2.5715108,-7.621081,-17.324678,4.9126835
AG0337-C,I-63,Charles Godfray,"Gambia, The",Wali Kunda,2012,10,13.567,-14.917,F,AG1000G-GM-C,v3,0.909,0.006999999999999999,gamb_colu,coluzzii,coluzzii,35.188854,48.798813,-3.6641788,-18.368843,9.335127,-0.06178924,-24.172237,-5.066915,8.852887,-25.848475
AG0366-C,O-456,Charles Godfray,"Gambia, The",Wali Kunda,2012,10,13.567,-14.917,F,AG1000G-GM-C,v3,0.879,0.006,gamb_colu,intermediate,intermediate_gambiae_coluzzii,34.087555,-22.132343,2.2159736,-6.8377085,5.2861614,-1.1267203,-9.268422,8.725479,0.81448364,12.668909
AG0270-C,O-99,Charles Godfray,"Gambia, The",Wali Kunda,2012,10,13.567,-14.917,F,AG1000G-GM-C,v3,0.9359999999999999,0.006,gamb_colu,coluzzii,coluzzii,35.241394,16.330706,-3.4864635,0.2789186,-2.048992,8.600677,9.161182,-2.131084,-9.2315,4.952298
AG0334-C,I-55,Charles Godfray,"Gambia, The",Wali Kunda,2012,10,13.567,-14.917,F,AG1000G-GM-C,v3,0.932,0.005,gamb_colu,coluzzii,coluzzii,37.181423,-15.644207,7.545932,-9.742658,3.2827575,-8.454696,-16.801125,0.8731711,4.277112,-16.570578
AG0273-C,O-342,Charles Godfray,"Gambia, The",Wali Kunda,2012,10,13.567,-14.917,F,AG1000G-GM-C,v3,0.9,0.006,gamb_colu,coluzzii,coluzzii,33.1912,58.524414,-8.216956,5.9787145,-4.5947,1.2678477,9.50209,-10.364059,-21.751434,-4.727004
AG0306-C,I-1,Charles Godfray,"Gambia, The",Wali Kunda,2012,10,13.567,-14.917,F,AG1000G-GM-C,v3,0.927,0.005,gamb_colu,coluzzii,coluzzii,39.810913,-41.356827,13.974738,-6.885002,8.051908,-18.5856,-31.250269,5.9916334,32.344807,-5.862716
AG0329-C,I-17,Charles Godfray,"Gambia, The",Wali Kunda,2012,10,13.567,-14.917,F,AG1000G-GM-C,v3,0.922,0.005,gamb_colu,coluzzii,coluzzii,34.469017,8.616534,-4.3389697,10.65702,-8.210225,2.7238355,9.51515,9.89726,2.0848029,7.7244706
