sample_id,partner_sample_id,contributor,country,location,year,month,latitude,longitude,sex_call,sample_set,release,aim_fraction_colu,aim_fraction_arab,species_gambcolu_arabiensis,species_gambiae_coluzzii,species,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
AB0115-C,BF4-8,Austin Burt,Burkina Faso,Bana,2012,7,11.232999999999999,-4.4719999999999995,F,AG1000G-BF-A,v3,0.9790000000000001,0.002,gamb_colu,coluzzii,coluzzii,1.8756298,-5.461276,19.399687,-4.908548,29.881037,-1.6237503,0.71067446,6.614819,6.920657,0.24955015
AB0121-C,BF3-25,Austin Burt,Burkina Faso,Bana,2012,7,11.232999999999999,-4.4719999999999995,M,AG1000G-BF-A,v3,0.912,0.003,gamb_colu,coluzzii,coluzzii,-8.297598,11.71491,2.0853245,57.0893,22.309195,12.467908,-1.036595,-6.2694244,6.8398533,6.8506975
AB0122-C,BF3-26,Austin Burt,Burkina Faso,Bana,2012,7,11.232999999999999,-4.4719999999999995,M,AG1000G-BF-A,v3,0.9790000000000001,0.002,gamb_colu,coluzzii,coluzzii,0.20312804,4.493633,-19.635967,4.7459903,-18.14499,-4.217433,-1.3907503,-10.149431,8.652619,-6.3819227
AB0123-C,BF3-27,Austin Burt,Burkina Faso,Bana,2012,7,11.232999999999999,-4.4719999999999995,M,AG1000G-BF-A,v3,0.9670000000000001,0.002,gamb_colu,coluzzii,coluzzii,14.511709,13.673402,-12.44429,-14.39425,2.5108984,7.7380385,11.83756,0.1184975,-22.034582,7.2333884
AB0124-C,BF3-28,Austin Burt,Burkina Faso,Bana,2012,7,11.232999999999999,-4.4719999999999995,M,AG1000G-BF-A,v3,0.973,0.002,gamb_colu,coluzzii,coluzzii,-0.27413607,7.6425996,-5.7840805,4.8777013,-17.536013,18.309767,16.730917,25.397655,-7.2589765,-19.924805
AB0132-C,BF2-13,Austin Burt,Burkina Faso,Souroukoudinga,2012,7,11.235,-4.535,F,AG1000G-BF-A,v3,0.98,0.002,gamb_colu,coluzzii,coluzzii,-3.2800405,-0.24335547,-17.20552,15.135044,16.808237,10.592668,0.40170544,9.290626,-12.9265375,16.690014
AB0137-Cx,BF2-18,Austin Burt,Burkina Faso,Souroukoudinga,2012,7,11.235,-4.535,F,AG1000G-BF-A,v3,0.982,0.002,gamb_colu,coluzzii,coluzzii,5.1749372,7.837518,6.025429,6.206499,-16.34613,1.8171586,13.129324,-2.5271192,6.8893957,6.5334115
AB0138-Cx,BF2-19,Austin Burt,Burkina Faso,Souroukoudinga,2012,7,11.235,-4.535,F,AG1000G-BF-A,v3,0.987,0.002,gamb_colu,coluzzii,coluzzii,-5.760247,11.082352,0.8577197,0.5501695,15.729339,2.4974754,3.1075392,7.678841,-8.20078,2.591837
AB0139-C,BF2-20,Austin Burt,Burkina Faso,Souroukoudinga,2012,7,11.235,-4.535,F,AG1000G-BF-A,v3,0.971,0.002,gamb_colu,coluzzii,coluzzii,-11.504956,6.787794,5.2828226,52.069687,9.355241,7.3241754,4.445131,-14.04078,10.538789,11.053395
AB0140-C,BF2-21,Austin Burt,Burkina Faso,Souroukoudinga,2012,7,11.235,-4.535,F,AG1000G-BF-A,v3,0.965,0.002,gamb_colu,coluzzii,coluzzii,7.3548756,-6.603977,-11.0190935,7.285464,-6.4031906,16.695038,-5.257964,7.8911266,-3.7035468,-2.76778
AB0142-C,BF2-23,Austin Burt,Burkina Faso,Souroukoudinga,2012,7,11.235,-4.535,F,AG1000G-BF-A,v3,0.9840000000000001,0.002,gamb_colu,coluzzii,coluzzii,-3.0067396,5.8425837,1.9278318,10.20442,-9.125571,-4.498764,-12.287723,5.1532965,7.7322855,-8.85227
AB0181-C,BFBana 4.2,Austin Burt,Burkina Faso,Bana,2012,7,11.232999999999999,-4.4719999999999995,F,AG1000G-BF-A,v3,0.982,0.002,gamb_colu,coluzzii,coluzzii,3.5259502,1.7185581,8.668337,-6.5275826,30.934393,-15.495093,-16.134426,7.7633657,6.667309,-13.916961
AB0182-C,BFBana 4.3,Austin Burt,Burkina Faso,Bana,2012,7,11.232999999999999,-4.4719999999999995,F,AG1000G-BF-A,v3,0.9740000000000001,0.002,gamb_colu,coluzzii,coluzzii,-0.949098,-0.60214585,-17.593613,0.23588985,-3.1629145,0.44898516,2.1655505,3.675228,-7.897618,2.994191
AB0183-C,BFBana5.1,Austin Burt,Burkina Faso,Bana,2012,7,11.232999999999999,-4.4719999999999995,F,AG1000G-BF-A,v3,0.9690000000000001,0.002,gamb_colu,coluzzii,coluzzii,3.4398646,-2.2636783,1.9665502,-0.39052543,5.8519597,3.4988852,-4.4994125,-3.7737377,9.92016,6.978314
AB0184-C,BFBana 5.2,Austin Burt,Burkina Faso,Bana,2012,7,11.232999999999999,-4.4719999999999995,F,AG1000G-BF-A,v3,0.977,0.002,gamb_colu,coluzzii,coluzzii,2.4116204,-1.2268313,-3.1198823,20.265453,-3.249313,-29.208113,-5.8679686,-3.5433846,-4.710924,-11.309473
AB0185-Cx,BFBana 6.1,Austin Burt,Burkina Faso,Bana,2012,7,11.232999999999999,-4.4719999999999995,F,AG1000G-BF-A,v3,0.9740000000000001,0.002,gamb_colu,coluzzii,coluzzii,0.33239666,-3.8790948,-4.3426366,2.4410684,-0.46481034,-3.96314,13.164016,4.508947,-4.1625686,-8.3119545
AB0186-C,BFBana 6.2,Austin Burt,Burkina Faso,Bana,2012,7,11.232999999999999,-4.4719999999999995,F,AG1000G-BF-A,v3,0.9790000000000001,0.002,gamb_colu,coluzzii,coluzzii,-4.218285,1.2774116,2.527467,-4.6583905,9.617152,-6.693743,10.655843,0.22574338,-0.38517663,-8.261356
AB0187-C,BFBana 7.1,Austin Burt,Burkina Faso,Bana,2012,7,11.232999999999999,-4.4719999999999995,F,AG1000G-BF-A,v3,0.973,0.002,gamb_colu,coluzzii,coluzzii,5.9889793,2.3986452,1.8221701,-11.041217,-5.2884917,5.1814523,-26.60771,31.797363,1.9784641,-8.195145
